"id"	"name"	"description"	"additionalTypeId"	"additionalTypeName"	"startDate"	"endDate"	"addressLocality"	"addressRegion"	"postalCode"	"streetAddress"	"latitude"	"longitude"	"citation"	"sameAs"
"http://www.cinemacontext.nl/id/B001529"	"Circus-Schouwburg"	"Ook bekend als Circus Pfläging, Circus Arena en Circus Variété. Incidenteel gebruikt voor filmvoorstellingen, vooral tijdens variétéprogramma's."			1910-01-01	1933-01-16	"Rotterdam"			"Stationsplein 12"	51.9237	4.47023		"http://www.cinemacontext.nl/id/B001529"
"http://www.cinemacontext.nl/id/B001279"	"Parisienne"	"Tijdelijke exploitatie."			1910-02-14	1911-12-31	"Breda"			"Lange Brugstraat 35"	51.5882	4.77392		"http://www.cinemacontext.nl/id/B001279"
"http://www.cinemacontext.nl/id/B000912"	"Hollandia (Binnenrotte)"				1910-02-19	1912-12-31	"Rotterdam"			"Binnenrotte 152"	51.9234	4.48434		"http://www.cinemacontext.nl/id/B000912"
"http://www.cinemacontext.nl/id/B001280"	"Hof van Holland"				1910-02-19	1915-08-01	"Breda"			"Reigerstraat 24"	51.5894	4.77491		"http://www.cinemacontext.nl/id/B001280"
"http://www.cinemacontext.nl/id/B000022"	"Parisien (Nieuwendijk)"				1910-03-26	1987-03-25	"Amsterdam"			"Nieuwendijk 69"	52.3772	4.8968		"http://www.cinemacontext.nl/id/B000022"
"http://www.cinemacontext.nl/id/B000681"	"Friso Bioscoop"				1910-03-26	1928-06-30	"Leeuwarden"			"Nieuwestad 85"	53.201	5.79369		"http://www.cinemacontext.nl/id/B000681"
"http://www.cinemacontext.nl/id/B000055"	"Grand Théâtre"	"1907-1909 werden hier alleen in de zomermaanden films vertoond.  Vanaf oktober 1910 vertoont B.A. Mullens enkele dagen per week films. De andere dagen is er theater. Mullens werd per 1 sept. 1911 de nieuwe eigenaar van het Grand Theatre, maar moesten de toneelvoorstellingen van Solser en Hesse toch door te laten gaan. Mullens liet het gebouw ontruimen en sluiten. In kort geding kwamen beide partijen tot een vergelijk, zodat de gedupeerde artisten toch konden optreden de volgende dag (premiere). Tussen september en december 1912 worden er weer films vertoond. Vanaf  1913 verhuurt Mullens het gebouw aan het toneelgezelschap van Heijermans en Verkade. Maart 1940 laat de fiscus de inboedel veilen omdat Mullens een belastingschuld niet wil betalen."			1910-06-03	1911-08-31	"Amsterdam"			"Amstelstraat 21-23"	52.3663	4.89862		"http://www.cinemacontext.nl/id/B000055"
"http://www.cinemacontext.nl/id/B001600"	"Opera Bioscoop"	"in Bellevue aan de Leidsekade"			1910-06-23	1913-03-28	"Amsterdam"			"Leidsekade 90"	52.364	4.88068		"http://www.cinemacontext.nl/id/B001600"
"http://www.cinemacontext.nl/id/B001069"	"Cinema Parisien"				1910-07-16	1912-07-31	"Utrecht"			"Voorstraat 8"	52.0938	5.11858		"http://www.cinemacontext.nl/id/B001069"
"http://www.cinemacontext.nl/id/B000647"	"Groninger Bioscope-Theater"				1910-08-09	1913-05-15	"Groningen"			"Grote Markt 41"	53.2182	6.56771		"http://www.cinemacontext.nl/id/B000647"
"http://www.cinemacontext.nl/id/B001664"	"Bellevue Biosoop (Plantage Middenlaan)"	"Frascati Schouwburg"			1910-10-01	1910-12-31	"Amsterdam"			"Plantage Middenlaan 4a"	52.367	4.90975		"http://www.cinemacontext.nl/id/B001664"
"http://www.cinemacontext.nl/id/B000735"	"Gala Bioscoop"				1910-10-17	1912-12-31	"Maastricht"			"Kleine Gracht 24"	50.8525	5.69228		"http://www.cinemacontext.nl/id/B000735"
